pokemon_name	number_of_nodes_in_the_local_comunity	conductance_value_of_the_local_comunity
Abomasnow	140	0.4124230554001119
Accelgor	138	0.39539257169722614
Aegislash	139	0.4102079395085066
Aerodactyl	140	0.4094802969731582
Aggron	140	0.4065281899109792
Alakazam	109	0.38744690891930156
Alcremie	129	0.4062940347581024
Altaria	140	0.40789473684210525
Amoonguss	109	0.3483992467043315
Appletun	140	0.41984015044663847
Araquanid	95	0.3370998116760829
Arcanine	111	0.384687646782527
Archeops	140	0.35872120357310766
Arctovish	139	0.4167450611476952
Arctozolt	115	0.37376586741889983
Armaldo	2	0.3333333333333333
Aromatisse	139	0.410933081998115
Articuno	139	0.4167450611476952
Articuno-Galar	131	0.401789919924635
Aurorus	140	0.4295600593178448
Avalugg	140	0.4266792809839167
Azumarill	124	0.3788235294117647
Barraskewda	140	0.39748549323017407
Beartic	116	0.411875589066918
Bisharp	103	0.36747273589378854
Blacephalon	132	0.4071630537229029
Blastoise	98	0.35620300751879697
Blaziken	137	0.3947119924457035
Blissey	140	0.4242600116076611
Braviary	118	0.41497880357983985
Bronzong	95	0.3487494100991034
Bronzor	118	0.4069548872180451
Butterfree	135	0.41065535124941066
Buzzwole	111	0.384109073812882
Calyrex-Ice	106	0.402081362346263
Calyrex-Shadow	94	0.3408769448373409
Carbink	140	0.4058178350023844
Celesteela	95	0.34494117647058825
Centiskorch	139	0.39416745061147695
Chandelure	114	0.3910588235294118
Chansey	140	0.40828402366863903
Charizard	105	0.35183443085606775
Cherrim	140	0.4028301886792453
Cinccino	139	0.4095139607032058
Cinderace	121	0.3458646616541353
Claydol	140	0.44121532364597094
Clefable	97	0.35902255639097747
Clefairy	96	0.3415559772296015
Coalossal	136	0.38345864661654133
Cobalion	138	0.3823668081093824
Cofagrigus	136	0.411875589066918
Comfey	90	0.34341048653755313
Conkeldurr	114	0.3843984962406015
Corviknight	139	0.3703529411764706
Cradily	118	0.412593984962406
Crawdaunt	93	0.3745283018867924
Cresselia	96	0.3578847969782814
Crobat	113	0.3547472838923004
Darmanitan	5	0.38461538461538464
Darmanitan-Galar	129	0.3750588235294118
Dialga	135	0.37593984962406013
Diggersby	136	0.4050751879699248
Ditto	120	0.39425341497880356
Dracovish	102	0.3323930418429713
Dracozolt	99	0.3584007615421228
Dragalge	129	0.3894637817497648
Dragapult	116	0.35559736594543745
